Servername,type,CPU,IO,Storage,Memory,CPU_base,IO_base,Storage_base,Memory_base,CPU_thresh,IO_thresh,Storage_thresh,Memory_thresh,criticality,region,timestamp
SYB_REP_APAC_1,Sybase repserver,11.06,32.87,89.56,62.75,7.79,25.13,65.02,48.91,13.91,38.32,113.29,80.22,High,APAC,2025-08-04 15:26:14
PG_CH_2,Postgresql,22.17,46.6,68.14,40.61,19.05,38.72,59.47,35.73,27.16,55.07,82.94,48.48,High,CH,2025-08-04 15:26:14
SYB_APAC_3,Sybase ASE,65.44,22.32,84.01,55.98,52.05,15.92,67.59,40.97,77.37,27.47,108.05,69.93,High,APAC,2025-08-04 15:26:14
PG_AMER_4,Postgresql,37.51,24.01,65.14,59.4,33.73,18.4,49.8,52.63,42.52,30.64,78.91,68.59,High,AMER,2025-08-04 15:26:14
ORA_RAC_AMER_5,Oracle RAC,25.12,29.02,28.02,67.11,18.7,26.09,21.84,47.94,29.22,35.41,32.43,79.03,Medium,AMER,2025-08-04 15:26:14
SYB_REP_APAC_6,Sybase repserver,24.77,76.25,57.1,63.68,18.86,62.03,46.9,45.3,29.58,84.34,65.82,75.21,Low,APAC,2025-08-04 15:26:14
MONGO_CH_7,MongoDB,75.94,11.19,37.35,24.43,65.94,8.42,30.87,17.71,96.19,14.05,48.11,31.21,Medium,CH,2025-08-04 15:26:14
PG_CH_8,Postgresql,73.09,24.62,46.4,69.57,62.47,20.58,41.49,50.6,87.28,30.09,53.47,87.26,Low,CH,2025-08-04 15:26:14
PG_CH_9,Postgresql,50.15,6.98,55.93,78.26,43.64,5.2,40.28,61.24,63.07,7.81,68.55,96.66,High,CH,2025-08-04 15:26:14
SYB_APAC_10,Sybase ASE,41.35,73.85,84.53,52.34,29.44,58.83,74.55,43.29,48.93,92.0,103.63,66.67,Low,APAC,2025-08-04 15:26:14
ORA_APAC_11,Oracle database server,78.35,76.04,66.52,84.68,59.03,60.4,57.4,72.79,94.21,98.34,81.41,94.81,Low,APAC,2025-08-04 15:26:14
SYB_IQ_CH_12,Sybase IQ,83.31,47.51,49.55,49.39,65.85,42.06,36.4,35.4,105.95,56.3,59.87,58.17,High,CH,2025-08-04 15:26:14
ORA_EMEA_13,Oracle database server,41.52,7.38,85.78,59.53,35.13,5.92,71.77,47.25,52.26,8.54,105.98,68.97,Medium,EMEA,2025-08-04 15:26:14
SYB_REP_EMEA_14,Sybase repserver,54.36,30.72,31.92,37.33,45.4,23.5,24.11,28.04,68.85,35.8,38.96,48.44,Low,EMEA,2025-08-04 15:26:14
PG_CH_15,Postgresql,32.79,15.07,89.72,54.29,24.1,12.69,74.03,40.41,38.46,17.46,114.43,69.24,Medium,CH,2025-08-04 15:26:14
SYB_IQ_APAC_16,Sybase IQ,39.46,51.4,29.67,58.06,28.97,36.94,22.84,47.12,44.97,65.88,35.6,71.63,High,APAC,2025-08-04 15:26:14
SYB_REP_AMER_17,Sybase repserver,64.97,50.43,58.32,41.04,50.66,43.26,45.8,34.53,81.99,61.25,74.1,50.66,High,AMER,2025-08-04 15:26:14
MONGO_APAC_18,MongoDB,82.35,9.56,29.88,37.26,64.47,8.48,23.07,27.83,106.1,11.75,34.14,44.34,Medium,APAC,2025-08-04 15:26:14
ORA_RAC_EMEA_19,Oracle RAC,11.29,61.19,94.86,16.29,8.95,44.27,79.73,13.33,12.56,74.2,111.17,18.69,Low,EMEA,2025-08-04 15:26:14
SYB_REP_EMEA_20,Sybase repserver,30.23,39.86,60.53,27.09,21.36,34.82,43.16,21.3,33.67,48.33,71.65,32.64,Low,EMEA,2025-08-04 15:26:14
PG_APAC_21,Postgresql,72.45,76.7,26.22,21.59,53.07,66.76,18.63,18.8,92.17,88.8,32.87,24.21,Medium,APAC,2025-08-04 15:26:14
SYB_APAC_22,Sybase ASE,85.37,71.03,94.48,41.58,68.06,58.55,69.29,33.67,99.73,83.34,110.89,48.42,Low,APAC,2025-08-04 15:26:14
SYB_REP_CH_23,Sybase repserver,23.69,14.78,30.31,31.05,17.81,11.13,22.81,25.44,27.35,18.16,37.08,35.96,High,CH,2025-08-04 15:26:14
PG_EMEA_24,Postgresql,27.29,37.02,36.69,45.76,24.5,31.06,25.79,32.75,31.16,47.91,44.97,53.73,Low,EMEA,2025-08-04 15:26:14
SYB_AMER_25,Sybase ASE,47.74,74.43,33.84,30.34,41.03,66.35,24.55,24.82,60.34,96.58,40.21,38.21,Medium,AMER,2025-08-04 15:26:14
SQL_CH_26,Ms SQL server,58.93,16.09,60.77,35.71,42.8,13.41,51.12,29.35,75.74,18.66,74.83,43.19,High,CH,2025-08-04 15:26:14
SYB_CH_27,Sybase ASE,21.21,21.08,20.44,76.57,15.57,18.11,17.67,57.74,24.64,25.15,24.96,95.82,Medium,CH,2025-08-04 15:26:14
ORA_EMEA_28,Oracle database server,34.83,59.5,88.66,41.89,29.88,51.25,77.17,30.35,44.27,75.19,102.79,53.3,High,EMEA,2025-08-04 15:26:14
SYB_IQ_AMER_29,Sybase IQ,74.16,8.13,33.64,54.63,57.78,6.05,28.48,47.6,85.71,10.35,38.18,61.72,Low,AMER,2025-08-04 15:26:14
ORA_RAC_CH_30,Oracle RAC,86.96,27.48,34.38,33.67,74.23,23.14,30.69,24.03,102.88,33.73,44.24,42.66,Low,CH,2025-08-04 15:26:14
MONGO_AMER_31,MongoDB,13.56,43.35,56.93,76.06,11.5,35.35,50.22,53.75,15.15,54.77,70.11,94.09,High,AMER,2025-08-04 15:26:14
SQL_CH_32,Ms SQL server,67.61,60.59,51.3,35.02,52.57,43.1,37.77,24.96,75.92,72.98,66.09,40.21,Medium,CH,2025-08-04 15:26:14
MONGO_CH_33,MongoDB,80.34,79.33,89.51,80.41,69.58,63.7,70.91,61.41,102.14,91.75,98.56,92.79,Medium,CH,2025-08-04 15:26:14
SQL_EMEA_34,Ms SQL server,41.34,55.92,90.36,62.13,35.9,47.99,72.23,52.94,46.39,67.44,104.88,76.61,Low,EMEA,2025-08-04 15:26:14
SYB_IQ_CH_35,Sybase IQ,78.93,18.48,53.62,56.42,70.0,14.82,38.8,46.44,88.59,20.41,69.04,65.74,Low,CH,2025-08-04 15:26:14
SYB_REP_EMEA_36,Sybase repserver,63.35,19.93,27.76,19.22,44.91,14.63,24.16,15.77,73.63,23.9,30.91,21.56,High,EMEA,2025-08-04 15:26:14
PG_EMEA_37,Postgresql,26.2,31.66,65.07,15.88,22.3,28.42,48.15,11.81,31.89,36.77,82.26,19.58,Medium,EMEA,2025-08-04 15:26:14
SQL_EMEA_38,Ms SQL server,18.46,19.2,65.64,64.91,14.76,16.01,48.76,53.87,23.15,24.31,75.66,80.09,High,EMEA,2025-08-04 15:26:14
MONGO_APAC_39,MongoDB,40.03,6.08,71.94,43.91,34.77,4.98,63.76,38.68,44.28,6.81,92.43,49.7,Low,APAC,2025-08-04 15:26:14
SQL_APAC_40,Ms SQL server,26.99,75.97,46.22,56.39,21.43,63.82,41.42,41.72,30.28,95.32,57.5,69.34,High,APAC,2025-08-04 15:26:14
SYB_REP_CH_41,Sybase repserver,71.92,21.5,88.59,60.63,60.48,16.1,75.85,42.86,86.14,24.84,108.28,78.33,Medium,CH,2025-08-04 15:26:14
SYB_IQ_APAC_42,Sybase IQ,84.81,53.12,71.25,17.21,61.42,44.36,58.46,14.59,98.59,61.53,79.77,20.75,Low,APAC,2025-08-04 15:26:14
PG_APAC_43,Postgresql,72.18,25.37,70.0,54.44,50.97,19.75,52.11,41.18,82.97,29.58,80.66,66.55,Low,APAC,2025-08-04 15:26:14
ORA_EMEA_44,Oracle database server,45.23,76.08,39.73,38.95,33.02,61.7,31.88,27.31,57.83,86.37,48.77,44.37,Low,EMEA,2025-08-04 15:26:14
SQL_CH_45,Ms SQL server,60.35,28.28,57.15,19.31,53.79,24.21,48.88,17.36,72.76,31.25,62.89,23.11,Low,CH,2025-08-04 15:26:14
ORA_EMEA_46,Oracle database server,16.12,10.01,88.87,43.44,12.26,8.58,75.0,33.44,19.12,11.18,110.58,48.31,Medium,EMEA,2025-08-04 15:26:14
SYB_APAC_47,Sybase ASE,87.36,40.11,77.27,42.47,65.88,35.47,57.34,32.61,109.78,48.67,96.77,53.32,Medium,APAC,2025-08-04 15:26:14
SQL_APAC_48,Ms SQL server,66.13,19.08,53.15,52.68,46.98,14.52,44.28,38.02,75.13,24.47,62.19,63.44,Low,APAC,2025-08-04 15:26:14
ORA_RAC_EMEA_49,Oracle RAC,84.72,59.53,57.9,62.31,67.83,50.98,46.55,50.59,104.51,69.92,67.14,75.69,Low,EMEA,2025-08-04 15:26:14
SYB_IQ_APAC_50,Sybase IQ,21.03,77.63,76.87,32.63,17.29,61.73,66.93,24.1,26.15,90.45,95.79,40.63,Low,APAC,2025-08-04 15:26:14
SYB_AMER_51,Sybase ASE,39.38,14.61,39.78,52.49,31.48,11.91,29.02,42.51,46.85,17.02,44.46,61.09,High,AMER,2025-08-04 15:26:14
SQL_AMER_52,Ms SQL server,80.92,65.65,67.07,49.72,66.98,55.64,55.76,38.49,92.48,73.73,82.88,59.72,Low,AMER,2025-08-04 15:26:14
ORA_AMER_53,Oracle database server,75.46,64.29,48.8,36.67,57.18,50.14,43.3,29.16,90.72,75.71,59.03,44.91,Medium,AMER,2025-08-04 15:26:14
MONGO_CH_54,MongoDB,81.82,19.88,35.24,68.62,72.02,14.93,30.28,52.67,92.09,23.59,43.47,85.82,Medium,CH,2025-08-04 15:26:14
MONGO_AMER_55,MongoDB,54.29,76.53,81.55,55.77,43.21,56.54,64.01,44.43,60.37,88.03,99.55,71.15,Low,AMER,2025-08-04 15:26:14
SYB_IQ_APAC_56,Sybase IQ,41.97,56.38,27.14,41.58,36.42,45.64,19.08,34.16,50.61,71.13,30.5,49.34,Low,APAC,2025-08-04 15:26:14
PG_APAC_57,Postgresql,36.65,51.06,74.84,77.99,29.21,38.41,66.3,66.26,44.27,66.37,89.06,94.1,Low,APAC,2025-08-04 15:26:14
SQL_AMER_58,Ms SQL server,86.74,51.42,53.41,26.97,63.19,43.48,42.21,21.51,106.88,64.78,67.51,33.2,Medium,AMER,2025-08-04 15:26:14
ORA_RAC_APAC_59,Oracle RAC,56.61,9.81,88.5,26.59,41.52,8.05,67.2,19.68,66.01,11.81,110.93,31.5,Low,APAC,2025-08-04 15:26:14
SYB_REP_APAC_60,Sybase repserver,43.98,14.75,66.75,69.77,37.11,10.67,50.02,59.08,48.93,18.28,77.96,78.97,Low,APAC,2025-08-04 15:26:14
SYB_IQ_EMEA_61,Sybase IQ,25.85,74.3,89.93,23.37,19.24,64.68,73.12,17.55,30.16,94.12,99.08,30.1,High,EMEA,2025-08-04 15:26:14
MONGO_APAC_62,MongoDB,65.68,45.3,69.56,29.02,51.58,33.62,49.68,23.59,75.87,51.43,81.77,33.01,High,APAC,2025-08-04 15:26:14
PG_APAC_63,Postgresql,66.75,34.74,93.46,26.81,49.16,25.55,70.41,24.03,84.96,40.56,119.34,33.4,Medium,APAC,2025-08-04 15:26:14
MONGO_AMER_64,MongoDB,35.53,19.02,28.91,56.94,31.5,16.6,25.04,50.33,41.57,24.3,37.1,73.52,High,AMER,2025-08-04 15:26:14
ORA_APAC_65,Oracle database server,19.69,53.11,27.76,30.6,15.68,46.46,23.3,23.55,21.86,67.11,31.81,38.85,High,APAC,2025-08-04 15:26:14
ORA_EMEA_66,Oracle database server,54.46,34.35,21.74,79.57,41.2,30.68,16.47,59.24,60.24,41.08,28.04,103.06,High,EMEA,2025-08-04 15:26:14
SYB_APAC_67,Sybase ASE,58.5,30.39,88.95,78.01,52.0,25.63,71.25,59.14,74.52,33.99,114.85,96.03,High,APAC,2025-08-04 15:26:14
PG_CH_68,Postgresql,48.32,39.51,86.38,47.08,37.58,33.88,62.07,37.42,58.12,48.15,96.68,60.94,Low,CH,2025-08-04 15:26:14
MONGO_APAC_69,MongoDB,23.95,60.18,68.08,34.77,18.74,49.42,54.05,27.77,29.8,75.74,84.56,38.83,High,APAC,2025-08-04 15:26:14
SYB_IQ_EMEA_70,Sybase IQ,36.25,68.94,48.45,41.44,26.36,51.21,38.78,29.5,42.32,83.4,57.1,53.3,High,EMEA,2025-08-04 15:26:14
SYB_REP_APAC_71,Sybase repserver,80.85,76.81,64.31,22.82,66.84,56.24,55.51,18.85,104.59,99.56,81.13,27.01,High,APAC,2025-08-04 15:26:14
SYB_REP_EMEA_72,Sybase repserver,35.58,22.45,27.51,77.34,30.6,16.26,21.21,55.02,44.44,28.48,31.27,87.28,Medium,EMEA,2025-08-04 15:26:14
MONGO_CH_73,MongoDB,56.89,57.24,59.73,81.41,48.85,47.32,50.3,70.91,68.75,64.92,66.49,94.52,High,CH,2025-08-04 15:26:14
ORA_APAC_74,Oracle database server,51.8,36.93,77.81,33.56,43.08,31.92,62.63,24.78,62.6,42.32,99.94,39.17,High,APAC,2025-08-04 15:26:14
SYB_APAC_75,Sybase ASE,77.31,74.77,86.31,67.3,66.51,67.13,69.87,54.6,95.49,82.85,96.67,81.66,High,APAC,2025-08-04 15:26:14
ORA_CH_76,Oracle database server,81.23,44.3,77.87,16.75,59.59,39.63,55.64,13.94,104.37,54.1,85.79,19.11,Low,CH,2025-08-04 15:26:14
SYB_AMER_77,Sybase ASE,51.81,71.62,84.94,58.75,43.63,63.84,67.65,52.47,57.32,87.38,95.2,74.57,High,AMER,2025-08-04 15:26:14
SQL_AMER_78,Ms SQL server,12.18,11.66,68.12,20.85,9.19,8.32,49.85,18.04,14.63,15.08,77.09,24.45,Low,AMER,2025-08-04 15:26:14
SQL_AMER_79,Ms SQL server,36.99,13.63,35.94,62.99,31.39,11.51,27.28,47.68,46.48,16.96,39.7,79.91,Medium,AMER,2025-08-04 15:26:14
SYB_REP_EMEA_80,Sybase repserver,12.13,12.1,56.78,55.55,9.83,9.01,40.09,42.4,13.45,14.47,70.1,69.54,Low,EMEA,2025-08-04 15:26:14
SYB_REP_APAC_81,Sybase repserver,75.96,40.84,41.97,51.59,62.24,31.46,29.53,41.88,94.3,46.04,47.84,58.82,Medium,APAC,2025-08-04 15:26:14
MONGO_EMEA_82,MongoDB,10.34,62.17,63.49,15.24,7.73,44.01,53.26,12.57,12.22,78.91,70.52,16.78,Low,EMEA,2025-08-04 15:26:14
SYB_EMEA_83,Sybase ASE,36.09,42.92,40.1,78.8,28.52,36.52,32.71,66.7,42.76,49.47,49.51,97.57,High,EMEA,2025-08-04 15:26:14
SYB_APAC_84,Sybase ASE,20.7,38.74,66.89,44.43,17.99,31.31,56.85,32.2,25.22,46.83,79.94,53.93,Medium,APAC,2025-08-04 15:26:14
PG_APAC_85,Postgresql,63.28,57.07,53.54,28.12,56.19,41.29,38.14,24.36,79.06,68.01,59.74,32.3,Medium,APAC,2025-08-04 15:26:14
SYB_REP_CH_86,Sybase repserver,69.38,23.95,76.32,82.42,50.86,17.73,60.09,70.39,89.31,30.74,91.83,102.37,Low,CH,2025-08-04 15:26:14
ORA_RAC_APAC_87,Oracle RAC,22.83,29.19,35.74,48.88,16.26,21.14,32.03,41.72,26.53,33.68,44.02,54.11,Medium,APAC,2025-08-04 15:26:14
PG_EMEA_88,Postgresql,47.36,8.35,24.17,20.5,38.13,7.18,18.41,16.0,54.16,10.22,28.12,23.27,Low,EMEA,2025-08-04 15:26:14
MONGO_EMEA_89,MongoDB,84.33,37.0,64.14,18.45,70.14,32.64,51.46,13.93,108.31,40.76,71.65,21.11,Low,EMEA,2025-08-04 15:26:14
PG_EMEA_90,Postgresql,37.17,34.95,46.61,25.29,29.71,25.45,38.12,18.7,47.71,38.84,52.85,29.36,Medium,EMEA,2025-08-04 15:26:14
SYB_IQ_AMER_91,Sybase IQ,66.9,31.16,48.57,58.26,56.57,26.19,35.86,51.55,77.82,37.32,58.58,67.53,Low,AMER,2025-08-04 15:26:14
PG_CH_92,Postgresql,88.96,55.41,83.02,77.74,63.9,48.36,71.55,68.97,113.03,70.08,103.89,86.55,High,CH,2025-08-04 15:26:14
SYB_IQ_CH_93,Sybase IQ,18.26,12.31,20.73,52.22,14.77,9.5,18.39,42.84,21.26,14.67,25.0,66.94,Low,CH,2025-08-04 15:26:14
ORA_RAC_CH_94,Oracle RAC,27.69,10.13,62.26,51.03,20.15,7.96,52.66,39.89,33.13,12.34,80.53,63.25,Medium,CH,2025-08-04 15:26:14
SYB_REP_CH_95,Sybase repserver,35.93,48.47,52.91,56.56,28.56,40.4,47.35,48.46,42.51,55.03,64.84,71.42,High,CH,2025-08-04 15:26:14
ORA_RAC_APAC_96,Oracle RAC,75.02,68.05,84.99,23.7,61.23,50.87,72.93,19.21,91.73,80.32,97.89,30.58,Low,APAC,2025-08-04 15:26:14
PG_APAC_97,Postgresql,67.09,77.0,22.52,17.24,51.58,61.9,16.22,12.75,84.77,91.36,27.54,21.56,Medium,APAC,2025-08-04 15:26:14
SYB_EMEA_98,Sybase ASE,23.21,78.32,30.47,45.35,19.75,64.81,24.74,39.7,29.86,101.33,36.85,55.55,Medium,EMEA,2025-08-04 15:26:14
SYB_EMEA_99,Sybase ASE,12.65,29.03,54.89,71.12,8.86,25.6,48.99,57.95,14.42,34.01,67.18,84.01,Medium,EMEA,2025-08-04 15:26:14
PG_APAC_100,Postgresql,74.83,25.72,63.67,57.82,55.43,18.46,53.84,42.24,89.13,32.53,77.12,65.77,Medium,APAC,2025-08-04 15:26:14
